,model,feats,body_part,interp,emotion,shuffle,fold,epoch,p,p_std,r,r_std,f,f_std,acc,acc_std
0,CNN,deltas,full-head,True,happiness,False,0,37,0.7054794520547946,,0.18558558558558558,,0.2938659058487874,,[0.69158879],
1,CNN,deltas,full-head,True,happiness,False,1,37,0.0,,0.0,,0.0,,[0.8780589],
2,CNN,deltas,full-head,True,happiness,False,2,37,0.06334841628959276,,0.012750455373406194,,0.021228203184230483,,[0.5007734],
3,CNN,deltas,full-head,True,happiness,False,3,37,0.5302713987473904,,0.16843501326259946,,0.2556618017111223,,[0.60602025],
4,CNN,deltas,full-head,True,happiness,False,4,37,0.07667731629392971,,0.030379746835443037,,0.043517679057116954,,[0.7397632],
5,CNN,deltas,full-head,True,happiness,False,5,37,0.6328029375764994,,0.24125058329444704,,0.3493243243243243,,[0.67054396],
6,CNN,deltas,full-head,True,happiness,False,6,37,0.0,,0.0,,0.0,,[0.50429799],
7,CNN,deltas,full-head,True,happiness,False,7,37,0.43548387096774194,,0.14754098360655737,,0.2204081632653061,,[0.90478564],
8,CNN,deltas,full-head,True,happiness,False,average,37,0.3055079239912436,0.28111084846294754,0.09824279599475483,0.09127902036099042,0.14800075967386095,0.13667387989378532,0.6869790147391135,0.1421390119952572
9,CNN,deltas,full,True,happiness,False,0,37,0.7674825174825175,,0.3954954954954955,,0.5219976218787158,,[0.74953271],
10,CNN,deltas,full,True,happiness,False,1,37,0.0,,0.0,,0.0,,[0.88967234],
11,CNN,deltas,full,True,happiness,False,2,37,0.014354066985645933,,0.00273224043715847,,0.004590665646518745,,[0.49690642],
12,CNN,deltas,full,True,happiness,False,3,37,0.5447897623400365,,0.1976127320954907,,0.2900243309002433,,[0.6113479],
13,CNN,deltas,full,True,happiness,False,4,37,0.11042944785276074,,0.02278481012658228,,0.037775445960125914,,[0.77380365],
14,CNN,deltas,full,True,happiness,False,5,37,0.4853852967227635,,0.25571628558096127,,0.33496332518337407,,[0.62777968],
15,CNN,deltas,full,True,happiness,False,6,37,1.0,,0.005780346820809248,,0.011494252873563216,,[0.50716332],
16,CNN,deltas,full,True,happiness,False,7,37,0.28363636363636363,,0.21311475409836064,,0.24336973478939158,,[0.87911266],
17,CNN,deltas,full,True,happiness,False,average,37,0.400759681877511,0.34084598686336776,0.13665458308185727,0.14028561066208378,0.18052692215399158,0.18333211195432642,0.6919148343866752,0.1444569166585083
18,CNN,deltas,hands,True,happiness,False,0,37,0.0,,0.0,,0.0,,[0.65420561],
19,CNN,deltas,hands,True,happiness,False,1,37,0.0,,0.0,,0.0,,[0.9709664],
20,CNN,deltas,hands,True,happiness,False,2,37,0.0,,0.0,,0.0,,[0.57540603],
21,CNN,deltas,hands,True,happiness,False,3,37,0.0,,0.0,,0.0,,[0.59829515],
22,CNN,deltas,hands,True,happiness,False,4,37,0.12844036697247707,,0.017721518987341773,,0.03114571746384872,,[0.78515047],
23,CNN,deltas,hands,True,happiness,False,5,37,0.0,,0.0,,0.0,,[0.63342456],
24,CNN,deltas,hands,True,happiness,False,6,37,0.0,,0.0,,0.0,,[0.50429799],
25,CNN,deltas,hands,True,happiness,False,7,37,0.0,,0.0,,0.0,,[0.90877368],
26,CNN,deltas,hands,True,happiness,False,average,37,0.016055045871559634,0.04247765866388105,0.0022151898734177216,0.005860841511851941,0.00389321468298109,0.010300477851753132,0.7038149876860877,0.1560607387369811
27,CNN,deltas,head,True,happiness,False,0,37,0.0,,0.0,,0.0,,[0.65420561],
28,CNN,deltas,head,True,happiness,False,1,37,0.0,,0.0,,0.0,,[0.9709664],
29,CNN,deltas,head,True,happiness,False,2,37,0.0,,0.0,,0.0,,[0.57540603],
30,CNN,deltas,head,True,happiness,False,3,37,0.0,,0.0,,0.0,,[0.59829515],
31,CNN,deltas,head,True,happiness,False,4,37,0.0,,0.0,,0.0,,[0.80118402],
32,CNN,deltas,head,True,happiness,False,5,37,0.0,,0.0,,0.0,,[0.63342456],
33,CNN,deltas,head,True,happiness,False,6,37,0.0,,0.0,,0.0,,[0.50429799],
34,CNN,deltas,head,True,happiness,False,7,37,0.0,,0.0,,0.0,,[0.90877368],
35,CNN,deltas,head,True,happiness,False,average,37,0.0,0.0,0.0,0.0,0.0,0.0,0.7058191810753329,0.1571912713217006
36,CNN,deltas,full-hh,True,happiness,False,0,37,0.0,,0.0,,0.0,,[0.65420561],
37,CNN,deltas,full-hh,True,happiness,False,1,37,0.0,,0.0,,0.0,,[0.96453754],
38,CNN,deltas,full-hh,True,happiness,False,2,37,0.029069767441860465,,0.004553734061930784,,0.007874015748031498,,[0.51276102],
