,model,feats,body_part,interp,emotion,fold,epoch,p,p_std,r,r_std,f,f_std,acc,acc_std
0,SVM,stats,,True,anger,0,0,0.16321656050955413,,0.22043010752688172,,0.18755718206770355,,[0.44672897],
1,SVM,stats,,True,anger,1,0,0.4403470715835141,,0.2743243243243243,,0.3380516236469609,,[0.6702613],
2,SVM,stats,,True,anger,2,0,0.6486842105263158,,0.40016233766233766,,0.4949799196787149,,[0.61098221],
3,SVM,stats,,True,anger,3,0,0.20525657071339173,,0.5264847512038523,,0.2953624493471409,,[0.58311135],
4,SVM,stats,,True,anger,4,0,0.289344262295082,,0.2753510140405616,,0.2821742605915267,,[0.55698076],
5,SVM,stats,,True,anger,5,0,0.17373404693289418,,0.5248756218905473,,0.26105784101453755,,[0.59134451],
6,SVM,stats,,True,anger,6,0,0.3282208588957055,,0.44214876033057854,,0.37676056338028163,,[0.74641834],
7,SVM,stats,,True,anger,7,0,0.5877016129032258,,0.20688431511710434,,0.3060367454068242,,[0.34064838],
8,SVM,stats,,True,anger,average,0,0.35456314929496036,0.17491861621561594,0.35883265401202347,0.12282182916875636,0.3177475731417113,0.08468548696412746,0.5683094775129236,0.11801871993890874
9,SVM,stats,,True,happiness,0,0,0.4258804258804259,,0.46846846846846846,,0.44616044616044614,,[0.59781931],
10,SVM,stats,,True,happiness,1,0,0.07161458333333333,,0.39285714285714285,,0.1211453744493392,,[0.8345085],
11,SVM,stats,,True,happiness,2,0,0.2537313432835821,,0.1703096539162113,,0.2038147138964578,,[0.4350348],
12,SVM,stats,,True,happiness,3,0,0.45888801879404856,,0.3885941644562334,,0.4208258527827648,,[0.57032499],
13,SVM,stats,,True,happiness,4,0,0.04563492063492063,,0.05822784810126582,,0.05116796440489433,,[0.57918106],
14,SVM,stats,,True,happiness,5,0,0.5913555992141454,,0.4213719085394307,,0.49209809264305177,,[0.6811495],
15,SVM,stats,,True,happiness,6,0,0.38425925925925924,,0.1199421965317919,,0.1828193832599119,,[0.46848138],
16,SVM,stats,,True,happiness,7,0,0.14167433302667892,,0.4207650273224044,,0.2119752236751548,,[0.71446384],
